ERAID,Rank,Title,FoR1,FoR1 Name,FoR2,FoR2 Name,FoR3,FoR2 Name,ISSN1,ISSN2,ISSN3,ISSN4
893,C,Journal of the Japanese Society of Computational Statistics,0104,Statistics ,0802,Computation Theory and Mathematics,,,0915-2350,,,
11938,B,Journal of the Kafka Society of America,2005,Literary Studies,,,,,0894-6388,0741-6202,,
17635,C,Journal of the Kentucky Academy of Science,MD,Multidisciplinary,,,,,1098-7096,1938-2960,,
15391,C,Journal of the Kentucky Medical Association,11,Medical and Health Sciences,,,,,0023-0294,,,
18450,C,Journal of the Korean Economy,1402,Applied Economics,,,,,1598-2750,,,
1002,C,Journal of the Korean Physical Society,02,Physical Sciences,01,Mathematical Sciences,,,0374-4884,,,
14953,C,Journal of the Korean Society for Clinical Pharmacology and Therapeutics.,1115,Pharmacology and Pharmaceutical Sciences,,,,,1225-5467,,,
32374,C,Journal of the Korean Society for Industrial and Applied Mathematics,0102,Applied Mathematics,,,,,1226-9433,,,
39661,C,Journal of the Korean Statistical Society,0104,Statistics ,,,,,1226-3192,,,
6489,B,Journal of the Learning Sciences,1303,Specialist Studies In Education,,,,,1050-8406,1532-7809,,
15398,C,Journal of the Louisiana State Medical Society,11,Medical and Health Sciences,,,,,0024-6921,,,
35057,C,Journal of the Mass Spectrometry Society of Japan,0301,Analytical Chemistry,,,,,1340-8097,,,
44865,Not ranked,Journal of The Mechanical Behavior of Biomedical Materials,0903,Biomedical Engineering ,,,,,1751-6161,,,
5152,A*,Journal of the Mechanics and Physics of Solids,02,Physical Sciences,01,Mathematical Sciences,09,Engineering,0022-5096,1873-4782,,
10605,B,Journal of the Medical Library Association,0807,Library and Information Studies,,,,,1536-5050,1558-9439,0025-7338,
1982,B,Journal of the Meteorological Society of Japan,0401,Atmospheric Sciences,,,,,0026-1165,,,
9369,A,Journal of the Midwest Modern Language Association,2003,Language Studies,2005,Literary Studies,,,0742-5562,,,
4109,C,Journal of the Mine Ventilation Society of South Africa,0914,Resources Engineering and Extractive Metallurgy,,,,,0368-3206,,,
17648,C,Journal of the Minnesota Academy of Science,MD,Multidisciplinary,,,,,0026-539X,,,
15405,C,Journal of the Mississippi State Medical Association,11,Medical and Health Sciences,,,,,0026-6396,,,
10476,B,Journal of the Musicological Society of Japan,1904,Performing Arts and Creative Writing,,,,,0030-2597,,,
15408,C,Journal of the Nagoya City University Medical Association,11,Medical and Health Sciences,,,,,0027-7606,,,
17655,C,"Journal of the Nanjing University (Philosophy, Humanities and Social Sciences)",MD,Multidisciplinary,,,,,1007-7278,,,
33544,C,Journal of the National Association of Administrative Law Judiciary,1801,Law,,,,,0735-0821,,,
16520,A*,Journal of the National Cancer Institute,1112,Oncology and Carcinogenesis,,,,,0027-8874,,,
16521,C,Journal of the National Cancer Institute Monographs,1112,Oncology and Carcinogenesis,,,,,1052-6773,1745-6614,,
15410,C,Journal of the National Medical Association,11,Medical and Health Sciences,,,,,0027-9684,1943-4693,,
16522,B,Journal of the Neurological Sciences,1103,Clinical Sciences,1109,Neurosciences,,,0022-510X,,,
40058,B,Journal of the New Zealand College of Midwives,1110,Nursing,,,,,0114-7870,1178-3893,,
15412,C,Journal of the Nihon University Medical Association,11,Medical and Health Sciences,,,,,0029-0424,,,
3281,A,Journal of the North American Benthological Society,0704,Fisheries Sciences,0602,Ecology,,,0887-3593,1937-237X,,
17665,C,Journal of the North Carolina Academy of Science,MD,Multidisciplinary,,,,,0013-6220,,,
1925,C,Journal of the Ocean University of Qingdao,0405,Oceanography,,,,,1672-5182,1672-5174,1993-5021,1671-2463
32902,A,Journal of the Operational Research Society,01,Mathematical Sciences,08,Information and Computing Sciences,15,"Commerce, Management, Tourism and Services",0160-5682,1476-9360,,
30845,C,Journal of the Operations Research Society of Japan,0102,Applied Mathematics,1503,Business and Management,,,0453-4514,,,
21529,B,Journal of the Oriental Society of Australia,MD,Multidisciplinary,,,,,0030-5340,,,
15415,C,Journal of the Osaka Medical College,11,Medical and Health Sciences,,,,,0030-6118,,,
21530,C,Journal of the Pacific Society,0405,Oceanography,1601,Anthropology ,2202,History and Philosophy Of Specific Fields,0387-4745,,,
32643,C,Journal of the Pakistan Dental Association,1105,Dentistry,,,,,1680-2292,,,
40265,A,Journal of the Pali Text Society,2003,Language Studies,2204,Religion and Religious Studies,,,1882-1927,0958-8892,,
16524,C,Journal of the Pancreas,1103,Clinical Sciences,,,,,1590-8577,,,
33545,C,Journal of the Patent and Trademark Office Society,1801,Law,,,,,0096-3577,,,
14497,C,Journal of the Peripheral Nervous System,1109,Neurosciences,,,,,1085-9489,1529-8027,,
14876,C,Journal of the Pharmaceutical Society of Japan,1115,Pharmacology and Pharmaceutical Sciences,,,,,0031-6903,1347-5231,,
15047,C,Journal of the Pharmaceutical Society of Korea,1115,Pharmacology and Pharmaceutical Sciences,,,,,0377-9556,,,
8489,C,Journal of the Philosophy of Sport,2203,Philosophy ,1702,Cognitive Science,,,0094-8705,1543-2939,,
1003,B,Journal of the Physical Society of Japan,02,Physical Sciences,01,Mathematical Sciences,,,0031-9015,1347-4073,,
3170,B,Journal of the Renin-Angiotensin-Aldosterone System,0606,Physiology ,1103,Clinical Sciences,,,1470-3203,1752-8976,,
33756,C,Journal of the Rocky Mountain Mineral Law Foundation,1801,Law,,,,,1550-7157,0148-6489,0035-7618,
9560,A,Journal of the Royal Anthropological Institute,1601,Anthropology ,,,,,1359-0987,1467-9655,,
21533,A*,Journal of the Royal Asiatic Society,MD,Multidisciplinary,,,,,1356-1863,1474-0591,,
21528,C,Journal of the Royal Asiatic Society. Malaysian Branch,MD,Multidisciplinary,,,,,0126-7353,,,
7352,C,Journal of the Royal Australian Historical Society,2103,Historical Studies,,,,,0035-8762,,,
10029,A*,Journal of the Royal Musical Association,1904,Performing Arts and Creative Writing,,,,,0269-0403,1471-6933,,
17627,A,Journal of the Royal Society Interface,MD,Multidisciplinary,,,,,1742-5689,1742-5662,,
8116,C,Journal of the Royal Society of Antiquaries of Ireland,2101,Archaeology,,,,,0035-9106,,,
15319,C,Journal of the Royal Society of Medicine,11,Medical and Health Sciences,,,,,0141-0768,1758-1095,0959-5287,
17484,C,Journal of the Royal Society of New Zealand,MD,Multidisciplinary,,,,,0303-6758,,,
42146,C,Journal of the Royal Society of Western Australia,0403,Geology,0406,Physical Geography and Environmental Geoscience,0502,Environmental Science and Management,0035-992X,,,
826,A*,Journal of the Royal Statistical Society Series A: Statistics in Society,0104,Statistics ,1403,Econometrics ,,,0964-1998,1467-985X,,
827,A*,Journal of the Royal Statistical Society Series B: Statistical Methodology,0104,Statistics ,,,,,1369-7412,1467-9868,,
828,A,Journal of the Royal Statistical Society Series C: Applied Statistics,0104,Statistics ,,,,,0035-9254,1467-9876,,
829,B,Journal of the Royal Statistical Society Series D: The Statistician,0104,Statistics ,,,,,0039-0526,,,
20371,B,Journal of the Scholarship of Teaching and Learning,13,Education,,,,,1527-9316,,,
5224,A,Journal of the Science of Food and Agriculture,07,Agricultural and Veterinary Sciences,,,,,0022-5142,1097-0010,,
34307,C,Journal of the Serbian Chemical Society,03,Chemical Sciences,,,,,0352-5139,,,
21503,C,Journal of the Shanxi Normal University (Philosophy and Social Sciences Edition),MD,Multidisciplinary,,,,,1672-4283,1000-5293,,
15035,C,Journal of the Shenyang Pharmaceutical University,1115,Pharmacology and Pharmaceutical Sciences,,,,,1006-2858,,,
9544,B,Journal of the Societe des Oceanistes,1601,Anthropology ,2101,Archaeology,,,0300-953X,1760-7256,,
10534,C,Journal of the Society for American Music,1904,Performing Arts and Creative Writing,,,,,1752-1963,1752-1971,,
10535,C,Journal of the Society for Musicology in Ireland,1904,Performing Arts and Creative Writing,,,,,1649-7341,,,
36181,C,Journal of the Society for Psychical Research,1701,Psychology,,,,,0037-9751,,,
20890,A*,Journal of the Society of Architectural Historians,1201,Architecture,,,,,0037-9808,1544-9890,,
21549,B,Journal of the Society of Architectural Historians of Japan,1201,Architecture,,,,,0289-2839,,,
7353,A,Journal of the Society of Archivists,0807,Library and Information Studies,2103,Historical Studies,,,0037-9816,1465-3907,,
12808,B,Journal of the Society of Christian Ethics,2201,Applied Ethics,,,,,1540-7942,0732-4928,,
5276,A,Journal of the Soil Science Society of America,05,Environmental Sciences,07,Agricultural and Veterinary Sciences,06,Biological Sciences,0361-5995,1435-0661,,
4135,C,Journal of the South African Institute of Mining and Metallurgy,0914,Resources Engineering and Extractive Metallurgy,,,,,0038-223X,,,
15429,C,Journal of the South Carolina Medical Association,11,Medical and Health Sciences,,,,,0038-3139,1544-4910,,
17628,C,Journal of the South Carolina Science Academy,MD,Multidisciplinary,,,,,1553-5975,,,
7354,C,Journal of the Southwest,2103,Historical Studies,,,,,0894-8410,,,
35280,C,Journal of the Southwest Philosophy Review,2203,Philosophy ,1702,Cognitive Science,,,0897-2346,,,
12809,B,Journal of the Spirituality Leadership and Management Network Limited,2204,Religion and Religious Studies,,,,,1447-3771,,,
32486,C,Journal of the Statistical and Social Inquiry Society of Ireland,0104,Statistics ,,,,,0081-4776,,,
3908,B,Journal of the Taiwan Institute of Chemical Engineers,0904,Chemical Engineering ,,,,,0368-1653,,,
39599,C,Journal of the Technical University at Plovdiv Fundamental Sciences and Applications Series A Pure Applied Mathematics,MD,Multidisciplinary,,,,,1310-8271,,,
17701,C,Journal of the Tennessee Academy of Science,MD,Multidisciplinary,,,,,0040-313X,,,
36381,A*,Journal of the Textile Institute,0910,Manufacturing Engineering,0913,Mechanical Engineering,1203,Design Practice and Management,0040-5000,1754-2340,0039-8357,0368-4482
17702,C,Journal of the Tianjin University,MD,Multidisciplinary,,,,,0493-2137,,,
15432,C,Journal of the Toho University Medical Society,11,Medical and Health Sciences,,,,,0040-8670,,,
15433,C,Journal of the Tokyo Women's Medical University,11,Medical and Health Sciences,,,,,0040-9022,,,
33030,C,Journal of the Transportation Research Forum,1507,Transportation and Freight Services,,,,,1046-1469,,,
32903,C,Journal of the UK Association of Christian Economists,14,Economics,,,,,0956-3067,,,
34518,C,Journal of the Viola da Gamba Society of America,1904,Performing Arts and Creative Writing,,,,,0507-0252,,,
1745,C,Journal of the Virtual Explorer,0402,Geochemistry,0403,Geology,0404,Geophysics,1441-8142,1441-8126,,
31309,B,Journal of the Walters Art Gallery,1901,Art Theory and Criticism,1905,Visual Arts and Crafts,,,0083-7156,,,
10031,A,Journal of the Warburg and Courtauld Institutes,MD,Multidisciplinary,,,,,0075-4390,,,
17709,C,Journal of the Washington Academy of Sciences,MD,Multidisciplinary,,,,,0043-0439,,,
7355,C,Journal of the West: an illustrated quarterly of Western American history and culture,2103,Historical Studies,,,,,0022-5169,1930-0115,,
5761,C,Journal of the World Aquaculture Society,0704,Fisheries Sciences,,,,,0893-8849,1749-7345,0735-0147,
40687,C,Journal of the World Indigenous Nations Higher Education Consortium,1303,Specialist Studies In Education,,,,,1177-1364,1177-6641,,
42148,Not ranked,Journal of the World Universities Forum,1701,Psychology,,,,,1835-2030,,,
34941,C,Journal of theAustralian Catholic Historical Society.,2204,Religion and Religious Studies,,,,,0084-7259,,,
41753,A,Journal of Theological Interpretation,2204,Religion and Religious Studies,,,,,1936-0843,,,
12810,A*,Journal of Theological Studies,2204,Religion and Religious Studies,,,,,0022-5185,1477-4607,,
32146,C,Journal of Theoretical and Applied Electronic Commerce Research,0899,Other Information and Computing Sciences,,,,,0718-1876,,,
32147,C,Journal of Theoretical and Applied Information Technology,08,Information and Computing Sciences,,,,,1992-8645,1817-3195,,
1364,C,Journal of Theoretical and Computational Chemistry,0307,Theoretical and Computational Chemistry,,,,,0219-6336,1793-6888,,
40285,C,Journal of Theoretical and Philosophical Psychology,1701,Psychology,2203,Philosophy ,1702,Cognitive Science,1068-8471,,,
39758,A*,Journal of Theoretical Biology,01,Mathematical Sciences,06,Biological Sciences,09,Engineering,0022-5193,1095-8541,,
18900,A,Journal of Theoretical Politics,1606,Political Science,,,,,0951-6298,1460-3667,,
830,B,Journal of Theoretical Probability,0104,Statistics ,,,,,0894-9840,1572-9230,,
5434,C,Journal of Therapeutic Horticulture,0706,Horticultural Production,,,,,1088-3487,,,
1477,C,Journal of Thermal Analysis and Calorimetry: an international forum for thermal studies,0306,Physical Chemistry (Incl. Structural),,,,,1388-6150,1572-8943,0368-4466,
2094,C,Journal of Thermal Biology,06,Biological Sciences,,,,,0306-4565,1879-0992,,
4953,C,Journal of Thermal Spray Technology,0912,Materials Engineering,0913,Mechanical Engineering,,,1059-9630,1544-1016,,
3788,B,Journal of Thermal Stresses,0913,Mechanical Engineering,,,,,0149-5739,1521-074X,,
39812,Not ranked,Journal of Thermodynamics,0203,Classical Physics,,,,,1687-9244,1687-9252,,
5155,B,Journal of Thermophysics and Heat Transfer,0915,Interdisciplinary Engineering,0901,Aerospace Engineering,0913,Mechanical Engineering,0887-8722,1533-6808,,
4954,C,Journal of Thermoplastic Composite Materials,0912,Materials Engineering,,,,,0892-7057,1530-7980,,
16530,A,Journal of Thoracic and Cardiovascular Surgery,1102,Cardiovascular Medicine and Haematology,,,,,0022-5223,1097-685X,,
35196,C,Journal of Thoracic Oncology: official scientific publication of the International Association for the Study of Lung Cancer,1103,Clinical Sciences,,,,,1556-0864,1556-1380,,
35296,C,Journal of Thought,2203,Philosophy ,1702,Cognitive Science,,,0022-5231,,,
16531,A*,Journal of Thrombosis and Haemostasis,1103,Clinical Sciences,1102,Cardiovascular Medicine and Haematology,,,1538-7933,1538-7836,,
16532,C,Journal of Thrombosis and Thrombolysis,1103,Clinical Sciences,,,,,0929-5305,1573-742X,,
831,A,Journal of Time Series Analysis,0104,Statistics ,1403,Econometrics ,,,0143-9782,1467-9892,,
42151,B,Journal of Tissue Engineering and Regenerative Medicine,1103,Clinical Sciences,1116,Medical Physiology,0903,Biomedical Engineering ,1932-6254,,,
39811,Not ranked,Journal of Topology,0101,Pure Mathematics,,,,,1753-8416,1753-8424,,
41636,Not ranked,Journal of Topology and Analysis,0101,Pure Mathematics,,,,,1793-5253,1793-7167,,
33546,B,Journal of Tort Law,1801,Law,,,,,1932-9148,,,
19720,B,Journal of Tourism and Cultural Change,1506,Tourism,2202,History and Philosophy Of Specific Fields,1699,Other Studies In Human Society,1476-6825,1747-7654,,
19680,A,Journal of Tourism Studies,1506,Tourism,,,,,1035-4662,,,
36330,B,Journal of Toxicology and Environmental Health Part A,05,Environmental Sciences,11,Medical and Health Sciences,03,Chemical Sciences,1528-7394,1087-2620,,
13696,C,Journal of Toxicology and Environmental Health Part B: Critical Reviews,1117,Public Health and Health Services,,,,,1093-7404,1521-6950,,
36853,C,Journal of Trace Elements in Medicine and Biology,0601,Biochemistry and Cell Biology,,,,,0946-672X,,,
42152,C,Journal of Traditional Chinese Medicine,1199,Other Medical and Health Sciences,,,,,0254-6272,,,
14987,C,Journal of Traditional Medicines,1115,Pharmacology and Pharmaceutical Sciences,,,,,1880-1447,1340-6302,,
14131,A*,Journal of Transcultural Nursing,1110,Nursing,2002,Cultural Studies,1117,Public Health and Health Services,1043-6596,1552-7832,,
20052,A,Journal of Transformative Education,1303,Specialist Studies In Education,,,,,1541-3446,1552-7840,,
37004,B,Journal of Translation Studies,2004,Linguistics,1702,Cognitive Science,,,1229-795X,,,
35473,B,Journal of Transnational Law and Policy,1801,Law,,,,,1067-8182,,,
31166,C,Journal of Transnational Management,1503,Business and Management,,,,,1547-5778,1068-6061,,
6491,C,Journal of Transpersonal Psychology,1701,Psychology,,,,,0022-524X,,,
35903,Not ranked,Journal of Transport and Land Use,1507,Transportation and Freight Services,1205,Urban and Regional Planning,,,1938-7849,,,
36039,A,Journal of Transport Economics and Policy,1402,Applied Economics,,,,,0022-5258,1754-5951,,
19644,B,Journal of Transport Geography,1507,Transportation and Freight Services,1205,Urban and Regional Planning,,,0966-6923,1873-1236,,
7357,B,Journal of Transport History,1507,Transportation and Freight Services,2103,Historical Studies,,,0022-5266,,,
33038,C,Journal of Transportation and Statistics,1507,Transportation and Freight Services,,,,,1094-8848,,,
36075,B,Journal of Transportation Engineering,0905,Civil Engineering,,,,,0733-947X,1943-5436,,
33039,C,"Journal of Transportation Law, Logistics and Policy",1801,Law,1507,Transportation and Freight Services,,,1078-5906,,,
39884,C,Journal of Transportation System Engineering and Information Technology,1507,Transportation and Freight Services,,,,,1009-6744,1570-6672,,
40647,B,Journal of Trauma and Dissociation,1608,Sociology,1701,Psychology,,,1529-9732,1529-9740,,
35195,C,Journal of Trauma Management and Outcomes,1117,Public Health and Health Services,,,,,1752-2897,,,
14225,C,Journal of Trauma Nursing,1110,Nursing,,,,,1078-7496,1076-4747,,
16534,B,Journal of Trauma: Injury Infection and Critical Care,1103,Clinical Sciences,,,,,0022-5282,1529-8809,,
6492,A,Journal of Traumatic Stress,1701,Psychology,,,,,0894-9867,1573-6598,,
19711,A,Journal of Travel and Tourism Marketing,1506,Tourism,,,,,1054-8408,1540-7306,,
19716,C,Journal of Travel and Tourism Research,1506,Tourism,,,,,1302-8545,,,
16535,C,Journal of Travel Medicine,1103,Clinical Sciences,,,,,1195-1982,1708-8305,,
19681,A*,Journal of Travel Research,1506,Tourism,,,,,0047-2875,1552-6763,0147-2399,
3697,B,Journal of Tribology-Transactions of the ASME,0913,Mechanical Engineering,,,,,0742-4787,1528-8897,,
5242,C,Journal of Tropical Agriculture and Food Science,07,Agricultural and Veterinary Sciences,,,,,1394-9829,,,
3282,C,Journal of Tropical Ecology,0602,Ecology,,,,,0266-4674,1469-7831,,
5717,C,Journal of Tropical Forest Science,0705,Forestry Sciences,,,,,0128-1283,,,
2540,C,Journal of Tropical Microbiology and Biotechnology,1004,Medical Biotechnology,1108,Medical Microbiology,0605,Microbiology ,1814-7593,1814-7607,1607-4106,
16536,C,Journal of Tropical Pediatrics,1114,Paediatrics and Reproductive Medicine,,,,,0142-6338,1465-3664,,
17674,B,Journal of Tsinghua University: Science and Technology,0913,Mechanical Engineering,0912,Materials Engineering,,,1000-0054,1007-0214,,
3790,B,Journal of Turbomachinery,0913,Mechanical Engineering,,,,,0889-504X,1528-8900,,
5156,B,Journal of Turbulence,0915,Interdisciplinary Engineering,,,,,1468-5248,,,
36478,C,Journal of Ubiquitous Computing and Intelligence,0803,Computer Software,0805,Distributed Computing,0801,Artificial Intelligence and Image Processing,1555-1326,1555-1334,,
11935,C,Journal of Ukrainian Studies,2005,Literary Studies,,,,,0228-1635,0701-1792,,
16537,C,Journal of Ultrasound in Medicine,1103,Clinical Sciences,,,,,0278-4297,1550-9613,,
32376,C,Journal of Undergraduate Mathematics,0101,Pure Mathematics,,,,,0022-5339,,,
18056,C,Journal of Universal Computer Science,01,Mathematical Sciences,08,Information and Computing Sciences,,,0948-695X,,,
32148,C,Journal of Universal Knowledge Management,0807,Library and Information Studies,,,,,1991-0959,,,
44866,C,Journal of University of Science and Technology Beijing,0910,Manufacturing Engineering,0912,Materials Engineering,0913,Mechanical Engineering,1005-8850,,,
20366,B,Journal of University Teaching and Learning Practice,1301,Education Systems ,1302,Curriculum and Pedagogy ,,,1449-9789,,,
5964,A,Journal of Urban Affairs,1604,Human Geography,1205,Urban and Regional Planning,,,0735-2166,1467-9906,,
20892,A*,Journal of Urban Design,1205,Urban and Regional Planning,,,,,1357-4809,1469-9664,,
18591,A*,Journal of Urban Economics,1402,Applied Economics,1205,Urban and Regional Planning,,,0094-1190,1095-9068,,
20160,C,Journal of Urban Education,1302,Curriculum and Pedagogy ,,,,,1546-3206,,,
13697,C,Journal of Urban Health: Bulletin of the New York Academy of Medicine,1117,Public Health and Health Services,,,,,1099-3460,1468-2869,,
7358,A*,Journal of Urban History,1205,Urban and Regional Planning,2103,Historical Studies,,,0096-1442,1552-6771,,
35573,B,Journal of Urban Planning and Development,1507,Transportation and Freight Services,1205,Urban and Regional Planning,,,0733-9488,1943-5444,,
44933,C,Journal of Urban Regeneration and Renewal,1205,Urban and Regional Planning,,,,,1752-9638,,,
5967,B,Journal of Urban Technology,1604,Human Geography,1205,Urban and Regional Planning,,,1063-0732,1466-1853,,
40624,Not ranked,Journal of Urbanism: international research on placemaking and urban sustainability,0502,Environmental Science and Management,1205,Urban and Regional Planning,1605,Policy and Administration,1754-9175,1754-9183,,
16538,A,Journal of Urology,1103,Clinical Sciences,,,,,0022-5347,1527-3792,,
19682,B,Journal of Vacation Marketing,1506,Tourism,,,,,1356-7667,1479-1870,,
4955,B,Journal of Vacuum Science and Technology A,0912,Materials Engineering,0904,Chemical Engineering ,,,1553-1813,1944-2807,0734-2101,
35106,B,Journal of Vacuum Science and Technology. Part B. Microelectronics and Nanometer Structures,0912,Materials Engineering,0401,Atmospheric Sciences,,,1071-1023,1520-8567,,
40266,C,Journal of Vaishnava Studies,2204,Religion and Religious Studies,,,,,1062-1237,,,
8490,A,Journal of Value Inquiry,2203,Philosophy ,2201,Applied Ethics,,,0022-5363,1573-0492,,
16539,B,Journal of Vascular and Interventional Radiology,1103,Clinical Sciences,,,,,1051-0443,1535-7732,,
30452,A,Journal of Vascular Nursing,1110,Nursing,,,,,1062-0303,1532-6578,,
16540,A,Journal of Vascular Research,1103,Clinical Sciences,,,,,1018-1172,1423-0135,,
16541,A,Journal of Vascular Surgery,1103,Clinical Sciences,,,,,0741-5214,1097-6809,,
16542,C,Journal of Vascular Ultrasound,1103,Clinical Sciences,,,,,1544-3167,,,
2958,C,Journal of Vector Ecology,0608,Zoology,,,,,1081-1710,0146-6429,,
2617,B,Journal of Vegetation Science,0607,Plant Biology,,,,,1100-9233,1654-1103,,
3108,C,Journal of Venomous Animals and Toxins Including Tropical Diseases,0608,Zoology,,,,,1678-9199,0104-7930,,
1821,A,Journal of Vertebrate Paleontology,0403,Geology,0603,Evolutionary Biology,0602,Ecology,0272-4634,1937-2809,,
14658,C,Journal of Vestibular Research: Equilibrium and Orientation: an international journal of experimental and clinical vestibular science,1116,Medical Physiology,,,,,0957-4271,1878-6464,,
5619,C,Journal of Veterinary and Animal Sciences,0707,Veterinary Sciences,,,,,0971-0701,,,
5620,B,Journal of Veterinary Behavior: clinical applications and research,0707,Veterinary Sciences,,,,,1558-7878,,,
5526,B,Journal of Veterinary Cardiology,0707,Veterinary Sciences,,,,,1760-2734,1875-0834,,
5621,C,Journal of Veterinary Dentistry,0707,Veterinary Sciences,,,,,0898-7564,,,
5527,A,Journal of Veterinary Diagnostic Investigation,0707,Veterinary Sciences,,,,,1040-6387,1943-4936,,
5622,B,Journal of Veterinary Emergency and Critical Care (Print Edition),0707,Veterinary Sciences,,,,,1479-3261,1476-4431,1539-8048,
5528,A,Journal of Veterinary Internal Medicine,0707,Veterinary Sciences,,,,,0891-6640,1939-1676,,
5529,C,Journal of Veterinary Medical Education,0707,Veterinary Sciences,,,,,0748-321X,1943-7218,,
5530,B,Journal of Veterinary Medical Science,0707,Veterinary Sciences,,,,,0916-7250,1347-7439,,
5533,A,Journal of Veterinary Pharmacology and Therapeutics,0707,Veterinary Sciences,,,,,0140-7783,,,
44306,B,Journal of Veterinary Science,0707,Veterinary Sciences,,,,,1229-845X,1976-555X,,
3698,A,Journal of Vibration and Acoustics-Transactions of the ASME,0913,Mechanical Engineering,0905,Civil Engineering,0915,Interdisciplinary Engineering,1048-9002,1528-8927,,
3699,B,Journal of Vibration and Control,0913,Mechanical Engineering,,,,,1077-5463,1741-2986,,
34798,A*,Journal of Victorian Culture,2002,Cultural Studies,2005,Literary Studies,2103,Historical Studies,1355-5502,1750-0133,,
21539,A*,Journal of Vietnamese Studies,MD,Multidisciplinary,,,,,1559-372X,1559-3738,,
15134,B,Journal of Viral Hepatitis,1103,Clinical Sciences,1108,Medical Microbiology,,,1352-0504,1365-2893,1345-2533,
15135,B,Journal of Virological Methods,1108,Medical Microbiology,0605,Microbiology ,,,0166-0934,,,
2491,A*,Journal of Virology,0605,Microbiology ,1108,Medical Microbiology,0707,Veterinary Sciences,0022-538X,1098-5514,1070-6321,
34816,C,Journal of Virtual Reality and Broadcasting,0803,Computer Software,0801,Artificial Intelligence and Image Processing,0806,Information Systems,1860-2037,,,
22252,A,Journal of Vision,1113,Ophthalmology and Optometry,1109,Neurosciences,1702,Cognitive Science,1534-7362,,,
10404,C,Journal of Visual Art Practice,1905,Visual Arts and Crafts,,,,,1470-2029,1758-9185,1358-0973,
32149,C,Journal of Visual Communication and Image Representation,1905,Visual Arts and Crafts,,,,,1047-3203,1095-9076,,
10405,A,Journal of Visual Culture,1905,Visual Arts and Crafts,2002,Cultural Studies,1901,Art Theory and Criticism,1470-4129,1741-2994,,
16544,C,Journal of Visual Impairment and Blindness,1103,Clinical Sciences,1113,Ophthalmology and Optometry,,,0145-482X,1559-1476,,
18057,A,Journal of Visual Languages and Computing,0803,Computer Software,1702,Cognitive Science,,,1045-926X,1095-8533,,
10406,C,Journal of Visual Literacy,1302,Curriculum and Pedagogy ,,,,,1051-144X,,,
32150,B,Journal of Visualization,0802,Computation Theory and Mathematics,,,,,1343-8875,1875-8975,,
4492,B,Journal of Vlsi Signal Processing Systems for Signal Image and Video Technology,0906,Electrical and Electronic Engineering,,,,,1939-8018,1387-5485,0922-5773,
6494,A*,Journal of Vocational Behavior,1503,Business and Management,1701,Psychology,,,0001-8791,1095-9084,,
19321,A,Journal of Vocational Education and Training,1301,Education Systems ,,,,,1363-6820,1747-5090,,
36219,C,Journal of Vocational Rehabilitation,1607,Social Work,,,,,1052-2263,1878-6316,,
9234,B,Journal of Voice,1103,Clinical Sciences,,,,,0892-1997,1873-4588,,
1746,A,Journal of Volcanology and Geothermal Research,0402,Geochemistry,0403,Geology,0404,Geophysics,0377-0273,1872-6097,,
36070,C,Journal of Volunteer Administration,15,"Commerce, Management, Tourism and Services",,,,,0733-6535,,,
39883,B,Journal of Water and Health,MD,Multidisciplinary,,,,,1477-8920,,,
4364,C,Journal of Water Chemistry and Technology,0905,Civil Engineering,,,,,1063-455X,1934-936X,,
4250,A*,Journal of Water Resources Planning and Management,0905,Civil Engineering,,,,,0733-9496,1943-5452,,
4251,B,Journal of Water Supply: Research and Technology,0905,Civil Engineering,,,,,0003-7214,1605-3974,,
4366,B,Journal of Waterway Port Coastal and Ocean Engineering-ASCE,0911,Maritime Engineering ,,,,,0733-950X,1943-5460,,
4601,C,Journal of Wavelet Theory and Applications,0906,Electrical and Electronic Engineering,,,,,0973-6336,,,
42177,B,Journal of Web Librarianship,0807,Library and Information Studies,,,,,1932-2909,1932-2917,,
32151,C,Journal of Web Semantics,0804,Data Format,,,,,1570-8268,1873-7749,,
40450,C,Journal of West African Languages,2004,Linguistics,,,,,0022-5401,,,
8118,B,Journal of Wetland Archaeology,2101,Archaeology,,,,,1473-2971,,,
16546,C,Journal of Whiplash and Related Disorders,1103,Clinical Sciences,,,,,1533-2888,,,
5534,A,Journal of Wildlife Diseases,0707,Veterinary Sciences,,,,,0090-3558,,,
5857,B,Journal of Wildlife Management,05,Environmental Sciences,06,Biological Sciences,07,Agricultural and Veterinary Sciences,0022-541X,1937-2817,,
3792,A,Journal of Wind Engineering and Industrial Aerodynamics,0913,Mechanical Engineering,0905,Civil Engineering,,,0167-6105,1872-8197,,
41141,C,Journal of Wine Economics,1402,Applied Economics,1505,Marketing,0706,Horticultural Production,1931-4361,,,
5398,C,Journal of Wine Research,0706,Horticultural Production,,,,,0957-1264,1469-9672,,
32803,A,"Journal of Women and Aging: the multidiciplinary quarterly of psychosocial practice, theory and research",1699,Other Studies In Human Society,1117,Public Health and Health Services,,,0895-2841,1540-7322,,
44829,C,Journal of Women and Minorities in Science and Engineering,1302,Curriculum and Pedagogy ,,,,,1940-431X,1702-8325,,
19947,C,Journal of Women in Educational Leadership,1303,Specialist Studies In Education,,,,,1541-6224,,,
32804,B,"Journal of Women, Politics and Policy",1699,Other Studies In Human Society,1606,Political Science,1605,Policy and Administration,1554-477X,1554-4788,0195-7732,
